Question,Golden reponse
quand les écoles vont réouvrir,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.468
"1549$ c'est abusif, non?","Il est demandé aux citoyens de ne pas composer le 911 pour dénoncer un rassemblement afin d’éviter d’engorger les lignes téléphoniques des centres d'urgence 911.
Si vous êtes témoin d’une situation sérieuse qui nécessite une intervention policière, vous pouvez communiquer avec le [service de police qui dessert votre territoire](https://www.securitepublique.gouv.qc.ca/police/bottin.html) .
La sensibilisation et l’information sont les approches privilégiées par l’ensemble des corps policiers au Qu [...]",0.209
reprise pour massotherapeute,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.185
nous habitons au bas saint-laurent et notre région est déconfinée depuis hier le 18 mai. pouvons-nous  aller voir nos enfants et petits-enfants - bien sûr à une distance de 2 mètres - qui demeurent à quebec sans que l’on nous demande d’être mis en quarantaine à notre retour.,Oui. Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.151
louer chalet,"*   Les hôtels et les motels.
*   Les campings désignés pour l’accueil des _snowbirds_, lesquels sont répertoriés sur le site de Camping Québec.
Tous les terrains de camping doivent demeurer fermés, à l’exception des terrains qui accueillent les _snowbirds_ n’ayant pas d’autre option de logement en sol québécois. Pour accueillir ces derniers, le camping doit offrir les trois services (eau, électricité, égout) afin de s’assurer que le campeur peut demeurer en confinement obligatoire pendant 14 jo [...]",1
je suis conseiller en prévention chez imprimerie solisco inc. et je veux savoir si une formation sur la gestion des lésions professionnelles fait partis du volet entreprise,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.237
'que signifie état d'urgence sanitaire?,"Il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le gouvernement du Québec a préparé un guide pour soutenir le milieu municipal à cet égard.
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_municipalites.pdf?1586176396)
Même si  [...]",0.285
ouverture école cmm,"**Depuis le 11 mai,** les établissements préscolaires et primaires rouvrent progressivement aux élèves dans l’ensemble des régions du Québec, à l’exception de ceux sur le territoire de la communauté métropolitaine de Montréal (CMM) et sur le territoire de la municipalité régionale de comté (MRC) de Joliette. Ces derniers restent fermés pour les élèves **jusqu’à la fin août**.
Les écoles secondaires demeureront aussi fermées pour les élèves **jusqu’à la fin août**. Les apprentissages à distance d [...]",0.803
je suis à court de souffle,Merci,0.363
pourquoi les coiffeurs et non les restaurants ,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.307
est-ce que mon père peut venir chez moi pour faire des rénovations?,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.273
c’est quoi la covid-19?,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",0.53
quand les écoles vont réouvrir,"Les commerces de détail ayant une entrée extérieure pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 11 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure doivent rester fermés jusqu’à nouvel ordre.
Pour connaître la liste complète des municipalités faisant partie de la communauté mé [...]",0.468
quand les écoles vont réouvrir,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.468
"bonjour. quelles sont les recommandations pour le rassemblement des personnes, combien de personnes peuvent se rassembler","Il est demandé aux citoyens de ne pas composer le 911 pour dénoncer un rassemblement afin d’éviter d’engorger les lignes téléphoniques des centres d'urgence 911.
Si vous êtes témoin d’une situation sérieuse qui nécessite une intervention policière, vous pouvez communiquer avec le [service de police qui dessert votre territoire](https://www.securitepublique.gouv.qc.ca/police/bottin.html) .
La sensibilisation et l’information sont les approches privilégiées par l’ensemble des corps policiers au Qu [...]",0.353
réunion de famille,Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.461
Est-ce que je peux amener les enfants avec moi pour faire les courses?,"Oui, en cas de nécessité. Cependant, dans la mesure du possible, il est préférable d’éviter de les amener à l’intérieur des commerces.",1
comment les éleve du secondaire auront leur diplôme ,"Les épreuves ministérielles n’auront pas lieu. En effet, tous les apprentissages prévus au programme n’ont pu être couverts en raison de la crise sanitaire qui a entraîné la suspension des services éducatifs durant une période considérable.",0.875
Informations générales sur la COVID-19,"Une transcription intégrale des conférences et points de presse tenus dans les édifices de l’Assemblée nationale est disponible.
[Consulter les transcriptions sur le site de l'Assemblée nationale](http://www.assnat.qc.ca/fr/actualites-salle-presse/conferences-points-presse/)",0.509
"peux t,on partager la meme voiture moi et ma soeur",Désolé. Je ne suis pas un robot de conversation. Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,0.446
combien de temps dure un masque ,"Le port du couvre-visage est recommandé dans les lieux publics lorsque la distanciation physique n'est pas possible. Cela peut se produire, par exemple, en se rendant à l’épicerie ou en prenant le transport en commun. Le port du couvre-visage dans les lieux publics doit obligatoirement s’accompagner des autres mesures de protection, comme l’application des mesures d’hygiène et de distanciation physique. Pour en savoir plus, consultez la section [Consignes sanitaire pour tous](https://www.quebec. [...]",0.383
Les déménagements,"Les régions et territoires visés sont les suivants :
*   Nord-du-Québec.
*   Gaspésie-Îles-de-la-Madeleine.
*   Nunavik.
*   Terres-Cries-de-la-Baie-James.
Le 29 avril, le gouvernement a annoncé un plan de réouverture des régions qui se fera de manière graduelle et qui s’étalera sur plusieurs semaines.
**À partir du 31 mai**, l’accès sera permis dans :
*   la région sociosanitaire de la Côte-Nord, sauf pour les MRC de la Minganie et du Golfe-du-Saint-Laurent (Basse Côte-Nord).
Un plan de réouver [...]",1
Consignes sanitaires pour tous,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.889
dois-je porter une masque?,"Le port du couvre-visage est recommandé dans les lieux publics lorsque la distanciation physique n'est pas possible. Cela peut se produire, par exemple, en se rendant à l’épicerie ou en prenant le transport en commun. Le port du couvre-visage dans les lieux publics doit obligatoirement s’accompagner des autres mesures de protection, comme l’application des mesures d’hygiène et de distanciation physique.
Si vous êtes malade, restez à la maison. Si vous devez vous rendre à la clinique ou à l’hôpit [...]",0.921
Comment peut-on faire la différence entre les symptômes de la COVID-19 et ceux de la grippe?,"Il n’est pas possible de faire la différence entre la COVID‑19 et la grippe en se basant seulement sur les symptômes, car ils se ressemblent trop. La seule façon d’être certain est de faire un test de détection, désormais réservé à certains groupes de personnes.
Par contre, si vous développez des symptômes d’infection respiratoire alors que vous vivez avec une personne qui a reçu la confirmation qu’elle était atteinte de la COVID‑19, il est presque certain que vous êtes également atteint.",1
je fais 568$ par semaine es ce que je suis admissible à l aide du gouvernement? covid-19,"Le gouvernement fédéral a annoncé le 25 mars le programme Prestation canadienne d’urgence (PCU), qui représente une aide financière de 2 000 $ par mois pour les travailleurs qui sont victimes de la pandémie de COVID-19.
Tous les Canadiens qui ne peuvent plus travailler à cause de la COVID-19, qu’ils soient admissibles ou non à l’assurance‑emploi, y ont droit, notamment :
*   Ceux qui ont perdu des revenus à cause de la COVID-19 (dont ceux qui ont toujours un emploi, mais qui ne reçoivent aucun r [...]",0.19
est-ce que la covid-19 est dangereuse?,"Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.506
ma mere 95 ans doit faire enlever un meuble dans sa maison est-ce possible?,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.257
Les activités de loisirs et de sports extérieurs,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",1
est-ce que je dois porter un masque,"Les personnes infectées à la COVID‑19 n’ont pas toutes des symptômes. Certaines personnes peuvent être infectées sans le savoir. Le port du couvre-visage pourrait permettre de diminuer le risque qu’une personne infectée transmette la COVID‑19 à d’autres.
Le couvre-visage doit être utilisé et nettoyé adéquatement.",0.953
Je peux tu organiser un souper d'amis,"Misez sur des stratégies de socialisation à distance, qui vous aideront à maintenir et même augmenter les liens avec vos proches en utilisant des moyens de communication alternatifs.
Il ne faut pas minimiser les effets positifs de la socialisation à distance, puisque le maintien de vos relations sociales a un impact positif sur votre santé physique et psychologique dans chaque étape de la vie.
Par exemple, vous pouvez utiliser des moyens de communication directs, indirects ou encore vous montrer [...]",0.768
chasse et pêche,#!builtin_text-bz4RRq,0.236
Des consignes sanitaires pour tous,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.408
covoiturage,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.945
quel sorte de masque je peux faire,"Le port du couvre-visage est recommandé dans les lieux publics lorsque la distanciation physique n'est pas possible. Cela peut se produire, par exemple, en se rendant à l’épicerie ou en prenant le transport en commun. Le port du couvre-visage dans les lieux publics doit obligatoirement s’accompagner des autres mesures de protection, comme l’application des mesures d’hygiène et de distanciation physique. Pour en savoir plus, consultez la section [Consignes sanitaire pour tous](https://www.quebec. [...]",0.589
Pourquoi les hôtels non essentiels doivent fermer ?,"*   Les hôtels et les motels.
*   Les campings désignés pour l’accueil des _snowbirds_, lesquels sont répertoriés sur le site de Camping Québec.
Tous les terrains de camping doivent demeurer fermés, à l’exception des terrains qui accueillent les _snowbirds_ n’ayant pas d’autre option de logement en sol québécois. Pour accueillir ces derniers, le camping doit offrir les trois services (eau, électricité, égout) afin de s’assurer que le campeur peut demeurer en confinement obligatoire pendant 14 jo [...]",1
écouter le point de presse,"Une transcription intégrale des conférences et points de presse tenus dans les édifices de l’Assemblée nationale est disponible.
[Consulter les transcriptions sur le site de l'Assemblée nationale](http://www.assnat.qc.ca/fr/actualites-salle-presse/conferences-points-presse/)",1
Favoriser l’achat local avec LePanierBleu.ca,"*   Privilégiez les produits du Québec au moment de vos achats. Diverses inscriptions facilitent le repérage de ces produits en magasin. Vous pouvez notamment vous renseigner sur le site [Aliments du Québec](https://www.alimentsduquebec.com/fr/produits-dici) .
*   Faites vos achats dans des commerces locaux consacrés à l’alimentation ou directement auprès des entreprises agricoles ou de transformation locales. [Le Panier bleu ](https://lepanierbleu.ca/) est une nouvelle plateforme de référence q [...]",0.649
quelles sont les symtpomes de la covid?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.334
quand est-ce que les salons vont reouvrir?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.539
puis-je ouvrir mon service de reliure?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.239
entretien ménagé ,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.252
quelle est la procédure pour sortir un proche d'un rpa?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.443
est-ce que je peux courrir dans les parcs sepaq,"Depuis le 21 mars 2020, et ce, jusqu’à nouvel ordre, [les parcs nationaux, les réserves fauniques et les établissements touristiques de la Sépaq sont fermés](https://www.sepaq.com/annexes/faq-coronavirus.dot?language_id=2) . Donc, même les citoyens qui résident près de ces territoires ne peuvent pas y accéder.
Il est par ailleurs interdit de faire du camping sur le territoire des zecs. Et même si la saison de pêche est maintenue, Zecs Québec rappelle aux citoyens que nul ne doit enfreindre les [ [...]",0.348
Aide financière aux études (AFE),"*   Privilégiez les produits du Québec au moment de vos achats. Diverses inscriptions facilitent le repérage de ces produits en magasin. Vous pouvez notamment vous renseigner sur le site [Aliments du Québec](https://www.alimentsduquebec.com/fr/produits-dici) .
*   Faites vos achats dans des commerces locaux consacrés à l’alimentation ou directement auprès des entreprises agricoles ou de transformation locales. [Le Panier bleu ](https://lepanierbleu.ca/) est une nouvelle plateforme de référence q [...]",1
j'ai 72 ans je vais aller à la pêche au quebec avec un ami de  63 ans en camion est ce possible,Consultez la politique de la plateforme d’hébergement collaboratif en question. La plupart ont convenu de mesures de soutien en lien avec la crise sanitaire actuelle ou prévoient des clauses pour force majeure.,0.281
Accès aux équipements collectifs d’une municipalité,"Il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le ministère des Affaires municipales et de l’Habitation a préparé un guide pour soutenir le milieu municipal à cet égard :
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_munici [...]",1
halte routière,#!builtin_text-bz4RRq,0.498
je suis professeure d'aérobie puis-je recommencer à donner des cours de groupe à l'extérieur si un minimum de 2 mètres est respecter ???,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.239
Je peux tu organiser un souper d'amis,"Misez sur des stratégies de socialisation à distance, qui vous aideront à maintenir et même augmenter les liens avec vos proches en utilisant des moyens de communication alternatifs.
Il ne faut pas minimiser les effets positifs de la socialisation à distance, puisque le maintien de vos relations sociales a un impact positif sur votre santé physique et psychologique dans chaque étape de la vie.
Par exemple, vous pouvez utiliser des moyens de communication directs, indirects ou encore vous montrer [...]",0.768
je suis étudiante en arts et je devais terminer mon stage en cinéma. où demander de l'aide?,"Lorsque les milieux de stage ont confirmé la continuité de leurs services, que les étudiants évoluent dans un endroit où les consignes de la Santé publique sont respectées et que les étudiants peuvent réaliser leur stage, par exemple en recourant au télétravail, les stages sont possibles. Cependant, aucun étudiant ne peut être pénalisé en raison de son incapacité à répondre aux exigences.",0.205
"En ce qui concerne la fermeture des lieux publics où se tiennent des activités de loisirs et de sports, qu’en est-il?","À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",1
comment dénoncer des comportements inacceptables,"Il est demandé aux citoyens de ne pas composer le 911 pour dénoncer un rassemblement afin d’éviter d’engorger les lignes téléphoniques des centres d'urgence 911.
Si vous êtes témoin d’une situation sérieuse qui nécessite une intervention policière, vous pouvez communiquer avec le [service de police qui dessert votre territoire](https://www.securitepublique.gouv.qc.ca/police/bottin.html) .
La sensibilisation et l’information sont les approches privilégiées par l’ensemble des corps policiers au Qu [...]",0.892
Les voyages à l'ère de la pandémie,"Misez sur des stratégies de socialisation à distance, qui vous aideront à maintenir et même augmenter les liens avec vos proches en utilisant des moyens de communication alternatifs.
Il ne faut pas minimiser les effets positifs de la socialisation à distance, puisque le maintien de vos relations sociales a un impact positif sur votre santé physique et psychologique dans chaque étape de la vie.
Par exemple, vous pouvez utiliser des moyens de communication directs, indirects ou encore vous montrer [...]",0.349
quand puis-je aller à la chasse,"Les dates pour l’ouverture des saisons de chasse et de pêche sont maintenues, mais les amateurs de chasse et de pêche seront tenus de respecter les interdictions gouvernementales. Ainsi, ils devront se conformer en tout temps aux directives et recommandations de la Direction nationale de la santé publique visant à endiguer l’épidémie de COVID-19, notamment :
*   Éviter de se déplacer d’une région ou d’une ville à l’autre, sauf en cas de nécessité. Les déplacements en lien avec les loisirs ne son [...]",0.498
Est-ce que je dois laver tous les articles emballés achetés à l’épicerie?,Il n’existe actuellement aucune preuve suggérant que la nourriture est une source ou une voie probable de transmission de la COVID-19. Le lavage usuel des fruits et légumes et l’application des bonnes pratiques de préparation d’aliments sont toujours recommandés.,0.59
puis-je mettre un masque,"Les personnes infectées à la COVID‑19 n’ont pas toutes des symptômes. Certaines personnes peuvent être infectées sans le savoir. Le port du couvre-visage pourrait permettre de diminuer le risque qu’une personne infectée transmette la COVID‑19 à d’autres.
Le couvre-visage doit être utilisé et nettoyé adéquatement.",0.428
combien de temps le covid-19 survit sur les objets?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.656
quand ouvre les garderies à montréal,"Nouveau**Depuis le 11 mai**, les établissements préscolaires et primaires rouvrent progressivement aux élèves dans l’ensemble des régions du Québec, à l’exception de ceux sur le territoire de la communauté métropolitaine de Montréal (CMM). Ces derniers restent fermés pour les élèves **jusqu’à la fin août**. Les exceptions visant le territoire de la CMM s'appliquent aussi au territoire de la municipalité régionale de comté (MRC) de Joliette.
Les écoles secondaires demeureront aussi fermées pour l [...]",0.232
Est-ce que les restaurants vont ouvrir sous peu?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",1
Est-ce que je dois laver tous les articles emballés achetés à l’épicerie?,Il n’existe actuellement aucune preuve suggérant que la nourriture est une source ou une voie probable de transmission de la COVID-19. Le lavage usuel des fruits et légumes et l’application des bonnes pratiques de préparation d’aliments sont toujours recommandés.,0.59
Est-ce que le port d’un masque est efficace pour me protéger contre la COVID‑19?,"Les personnes infectées à la COVID‑19 n’ont pas toutes des symptômes. Certaines personnes peuvent être infectées sans le savoir. Le port du couvre-visage pourrait permettre de diminuer le risque qu’une personne infectée transmette la COVID‑19 à d’autres.
Le couvre-visage doit être utilisé et nettoyé adéquatement.",1
Est-ce que je peux aller courir dans un parc de la sépaq?,"Depuis le 21 mars 2020, et ce, jusqu’à nouvel ordre, [les parcs nationaux, les réserves fauniques et les établissements touristiques de la Sépaq sont fermés](https://www.sepaq.com/annexes/faq-coronavirus.dot?language_id=2) . Donc, même les citoyens qui résident près de ces territoires ne peuvent pas y accéder.
Il est par ailleurs interdit de faire du camping sur le territoire des zecs. Et même si la saison de pêche est maintenue, Zecs Québec rappelle aux citoyens que nul ne doit enfreindre les [ [...]",1
Les lieux publics,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",0.585
Que puis-je faire pour contribuer à l’autonomie alimentaire du Québec?,"*   Privilégiez les produits du Québec au moment de vos achats. Diverses inscriptions facilitent le repérage de ces produits en magasin. Vous pouvez notamment vous renseigner sur le site [Aliments du Québec](https://www.alimentsduquebec.com/fr/produits-dici) .
*   Faites vos achats dans des commerces locaux consacrés à l’alimentation ou directement auprès des entreprises agricoles ou de transformation locales. [Le Panier bleu ](https://lepanierbleu.ca/) est une nouvelle plateforme de référence q [...]",0.78
est-ce que mon chien peut me transmettre le covid-19?,"Tout indique que la COVID-19 se transmet de personne à personne à la suite d’un contact étroit.
Rien n’indique que les animaux jouent un rôle dans la propagation de la maladie. Au Québec, aucune évidence ne suggère un risque d’infection des humains par les animaux ou par des produits animaux.
Des cas de transmission de l'humain vers certains animaux à la suite de contacts étroits ont été établis dans quelques pays. Les connaissances actuelles indiquent notamment que les chats, les furets et les  [...]",0.19
est-ce que je peux continuer à utiliser le transport en commun?,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.972
quand les magasins à laval vont rouvrir?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.812
est ce que je dois porter un masque,"Les personnes infectées à la COVID‑19 n’ont pas toutes des symptômes. Certaines personnes peuvent être infectées sans le savoir. Le port du couvre-visage pourrait permettre de diminuer le risque qu’une personne infectée transmette la COVID‑19 à d’autres.
Le couvre-visage doit être utilisé et nettoyé adéquatement.",0.953
